Location,Sample,id,"leaf_apex_angle","dist_to_widest_leaf","leaf_l","leaf_w","w_non_revoluted_leaf","dist_from_widest_fruit","fruit_l","fruit_w","seed_l","seed_w","sepal_l","sepal_tip_l","sepal_w","old_petal_l","petal_l","old_petal_w","petal_w","stamen_l","anther_l_tubules","anther_l_no_tubules","style_l","bract_l","bract_w","stem_d","shoot_l","pedicel_l","dist_to_lower_bract"
QCJB,20,QCJB20,93.842,1.338,3.337,1.562,1.052,,6.287,5.874,,,,,,4.294,4.5,1.714,1.918,3.342,2.202,0.961,4.575,0.872,0.22,0.217,25.9,13.967,
QCJB,21,QCJB21,65.327,1.532,4.104,1.742,1.247,,7.418,6.865,,,1.846,0.559,1.175,4.819,5.304,2.166,2.282,3.914,2.56,1.167,5.317,0.89,0.188,0.362,28.6,19.648,
QCJB,22,QCJB22,71.033,1.352,3.58,2.305,1.727,,,,,,1.605,0.467,1.072,,,,,3.602,2.305,1.061,4.668,1.054,0.149,0.283,20.4,11.463,
QCJB,23,QCJB23,56.105,1.757,4.381,1.731,1.483,,,,,,,,,4.571,4.016,1.825,2.051,2.657,1.704,0.871,5.023,0.963,0.258,0.402,62.6,21.364,
QCJB,24,QCJB24,92.305,1.764,4.162,2.094,1.849,,,,,,1.843,0.73,1.286,4.187,4.547,1.911,1.819,2.515,1.961,0.871,4.479,0.938,0.269,0.328,45.7,15.833,
QCJB,25,QCJB25,76.47,1.694,4.01,2.018,1.769,,,,,,1.263,0.534,,5.327,5.74,2.121,2.101,3.805,2.384,0.98,5.564,0.976,0.14,0.331,44.4,23.826,
QCMI,01,QCMI01,66.588,2.55,5.177,2.409,1.947,,,,,,,0.936,,6.149,6.509,2.207,2.308,4.642,3.034,1.474,5.617,1.127,0.231,0.381,42,23.18,
QCMI,02,QCMI02,103.173,1.794,3.916,2.424,1.933,,,,,,,,,4.687,4.73,2.584,2.209,3.839,3.125,1.554,5.417,1.248,0.384,0.361,56.1,26.09,
QCMI,03,QCMI03,71.892,1.682,4.233,1.959,1.123,,,,,,,,,4.643,4.744,1.488,1.509,3.632,3.103,1.467,4.503,1.128,0.213,0.281,33.9,23.413,
QCMI,04,QCMI04,103.47,1.366,3.256,2.145,1.535,,,,,,,0.42,1.15,5.258,5.66,1.566,2.42,4.7,3.371,1.657,4.915,1.331,0.137,0.415,28.3,21.636,
QCMI,05,QCMI05,106.148,1.645,3.848,2.308,1.825,,,,,,,,,4.748,5.612,2.228,2.065,4.248,2.892,1.168,5.002,1.905,0.307,0.297,51.5,23.685,
QCMI,06,QCMI06,111.609,1.727,3.697,2.415,1.865,,,,,,,,,3.998,5.674,2.003,2.316,3.795,3.297,1.593,4.09,1.268,0.265,0.36,28.3,18.138,
QCMI,07,QCMI07,108.833,1.573,3.861,2.261,1.834,,7.722,6.914,,,,,,3.907,4.516,2.376,1.789,3.245,2.988,1.529,4.405,1.342,0.178,0.369,42.3,23.509,
QCMI,08,QCMI08,97.777,1.45,4.12,2.497,1.854,,,,,,,,,4.12,5.175,1.906,2.239,3.928,3.333,1.729,5.093,0.747,0.266,0.411,36.5,17.774,
QCMI,09,QCMI09,66.684,2.214,4.627,2.147,1.693,,,,,,,0.697,1.428,6.062,6.375,1.8,1.804,5.437,4.194,1.967,5.699,1.293,0.184,0.363,27.3,25.485,
QCMI,10,QCMI10,88.637,1.489,4.163,1.741,1.291,,9.166,7.888,2.007,0.735,,0.606,1.278,4.637,6.093,1.399,2.212,4.557,3.11,1.531,5.424,1.117,0.119,0.328,31,20.049,
QCMI,11,QCMI11,89.519,1.928,4.402,2.185,1.611,,10.569,9.705,1.657,0.859,1.955,0.784,1.522,5.564,6.013,1.789,1.881,5.244,3.587,1.673,6.705,1.427,0.197,0.437,67.2,27.937,
QCMI,12,QCMI12,112.066,1.783,4.25,2.641,2.056,,,,,,,,,5.679,6.128,2.372,1.931,5.12,3.679,1.754,5.095,0.979,0.224,0.38,57.2,18.018,
QCMI,13,QCMI13,119.995,1.798,3.791,2.195,1.701,,,,,,,,,4.157,6.022,2.326,2.343,4.552,3.344,1.52,6.353,0.724,0.161,0.323,53.7,19.476,
QCMI,14,QCMI14,117.238,1.21,3.347,1.898,1.368,,,,,,,0.492,1.283,4.569,5.509,1.121,2.196,4.59,3.311,1.615,5.824,1.176,0.131,0.402,13.5,20.742,
QCMI,15,QCMI15,107.988,1.234,3.608,2.379,1.764,,10.161,9.044,1.693,0.972,,,,5.356,5.715,1.333,2.053,4.713,3.215,1.424,5.892,1.102,0.133,0.384,50.3,23.751,
QCLR,01,QCLR01,67.654,1.593,5.386,1.917,1.644,,,,,,,,,5.738,,1.867,,4.36,3.152,1.481,6.306,1.011,0.179,0.394,26.9,24.464,
QCLR,02,QCLR02,94.294,2.536,5.74,2.841,2.592,,,,,,,,,5.629,,2.422,,5.026,3.746,1.91,5.122,1.493,0.406,0.469,79.6,6.797,
QCLR,03,QCLR03,75.379,2.241,6.472,2.916,2.354,,,,,,,,,5.307,,2.47,,5.206,3.422,1.793,5.915,0.78,0.282,0.501,32.6,32.212,
QCLR,04,QCLR04,87.916,1.974,4.518,2.129,1.872,,,,,,,,,3.632,,1.687,,3.535,2.644,1.466,4.03,1.501,0.14,0.381,46.1,12.422,
QCLR,05,QCLR05,83.212,3.91,6.622,3.552,2.787,,,,,,,,,5.525,,2.452,,5.2,3.516,1.529,7.174,1.543,0.329,0.511,86.1,22.879,
QCER,01,QCER01,70.75,1.844,5.078,2.706,2.115,,,,,,,,,5.326,5.971,2.342,2.111,4.6,3.552,1.599,5.801,1.316,0.147,0.404,36.8,21.568,
QCER,02,QCER02,65.818,1.885,4.815,1.991,1.513,,,,,,,,,5.619,5.248,1.834,1.897,4.24,3.511,1.621,5.821,1.442,0.144,0.372,55.6,20.069,
QCER,03,QCER03,98.267,2.58,5.697,2.903,2.743,,,,,,,,,5.038,5.145,2.461,2.996,4.648,3.62,1.733,5.891,0.852,0.125,0.383,48.1,28.927,
QCER,04,QCER04,85.841,2.283,4.858,2.725,2.117,,,,,,,,,6.246,6.329,2.107,1.843,5.205,3.956,1.795,6.746,1.611,0.16,0.377,40.2,33.065,
QCER,05,QCER05,57.152,1.931,4.282,2.307,1.943,,,,,,,,,4.795,4.645,2.286,2.123,3.532,2.77,1.192,6.007,1.157,0.225,0.39,96.8,36.722,
QCER,06,QCER06,87.598,2.603,4.68,1.844,1.844,,,,,,,,,6.105,6.329,1.573,2.291,5.304,3.81,1.942,5.813,1.657,0.193,0.324,29.4,28.374,
QCER,07,QCER07,96.256,2.139,4.515,2.32,1.728,,,,,,2.082,0.769,1.387,5.489,6.173,2.23,2.206,4.764,2.869,1.182,6.266,1.891,0.142,0.416,30.7,30.311,
QCER,08,QCER08,80.207,2.735,5.733,2.575,2.196,,12.012,10.137,1.394,0.698,,,,5.454,5.492,2.429,2.584,3.467,2.118,1.213,6.309,1.218,0.217,0.429,19.9,21.047,
QCER,09,QCER09,98.437,1.45,3.982,2.125,1.636,,,,,,,,,4.238,4.629,2.105,2.658,3.993,2.453,1.473,4.589,1.668,0.213,0.286,33.7,19.287,
QCER,10,QCER10,78.462,1.728,4.56,2.54,2.068,,,,,,1.214,0.558,,5.276,5.121,1.805,1.822,4.507,3.324,1.329,5.572,0.82,0.156,0.291,57.9,12.059,
QCER,11,QCER11,84.342,2.256,5.65,2.553,2.321,,7.26,6.681,,,2.154,0.443,1.595,5.971,5.767,1.906,2.188,4.722,3.365,1.634,6.682,1.273,0.248,0.444,53.9,25.753,
QCER,12,QCER12,104.09,2.017,4.3,2.41,1.942,,,,,,,,,4.04,4.795,1.775,1.928,3.341,2.657,1.239,5.154,0.87,0.155,0.329,33.1,29.695,
QCER,13,QCER13,97.266,1.24,3.235,1.979,1.441,,,,,,,,,5.806,4.95,2.042,1.544,4.856,3.301,1.662,6.137,1.52,0.172,0.325,26.9,25.514,
QCER,14,QCER14,116.852,1.915,4.515,2.333,1.636,,,,,,,,,4.703,4.654,2.042,2.19,4.063,3.357,1.714,4.425,0.984,0.167,0.448,21,21.336,
QCER,15,QCER15,112.778,2.116,4.181,2.274,1.376,,,,,,,,,3.927,4.613,1.722,2.286,4.008,2.424,1.053,5.677,0.77,0.167,0.418,55.9,21.219,
QCER,16,QCER16,93.094,1.886,4.273,2.544,1.763,,,,,,,,,5.709,5.957,2.122,2.277,4.507,3.182,1.519,5.823,1.152,0.304,0.318,43.5,28.502,
QCER,17,QCER17,92.54,1.167,3.039,2.332,1.751,,,,,,1.536,0.708,1.156,4.407,5.189,1.831,2.249,4.433,3.213,1.396,6.099,1.542,0.346,0.342,99.4,24.477,
QCER,18,QCER18,97.694,1.264,3.077,2.005,1.388,,7.244,7.014,,,,,,4.603,4.773,1.367,1.97,4.965,3.045,1.367,5.665,1.555,0.172,0.315,29.6,24.655,
QCER,19,QCER19,98.801,1.634,3.549,2.105,1.521,,10.926,10.207,1.274,0.788,,,,4.842,4.981,2.213,2.077,4.983,3.261,1.635,6.708,1.319,0.188,0.282,38.7,24.283,
QCER,20,QCER20,110.884,1.535,3.908,2.347,1.666,,,,,,,,,5.065,4.612,2.176,2.133,4.995,3.428,1.574,6.049,1.589,0.152,0.318,32.5,31.248,
QCER,21,QCER21,79.467,1.382,3.766,1.962,1.568,,,,,,,,,4.184,4.619,1.896,1.908,3.822,2.737,1.191,5.312,0.938,0.264,0.36,41.3,26.402,
QCER,22,QCER22,70.947,1.908,4.599,2.373,1.761,,,,,,,,,4.612,4.676,1.872,1.982,3.973,2.731,1.519,5.57,1.71,0.18,0.508,59.6,34.143,
QCER,23,QCER23,94.23,1.881,4.633,2.1,1.369,,,,,,1.316,0.541,1.593,4.452,4.204,1.454,1.787,4.057,2.775,1.18,5.38,0.637,0.111,0.303,37.5,31.575,
QCER,24,QCER24,67.098,1.153,3.86,1.591,1.035,,,,,,,,,4.511,5.15,2.176,1.731,4.535,2.97,1.516,5.369,1.21,0.194,0.265,40.4,29.81,
QCER,25,QCER25,101.853,1.736,4.252,2.751,2.084,,,,,,,,,5.073,4.975,2.653,2.743,4.102,3.145,1.573,5.559,1.379,0.298,0.41,21.5,27.245,
QCEM,02,QCEM02,100.608,2.521,5.576,3.38,2.808,,,,,,1.556,0.737,1.068,5.489,5.361,1.999,1.976,4.319,2.863,1.347,6.028,1.152,0.221,0.467,95.6,14.272,
QCEM,10,QCEM10,124.554,2.44,5.809,4.038,3.944,,12.447,10.741,1.315,0.92,,,,5.707,5.238,2.796,2.594,3.778,3.324,1.541,4.963,1.696,0.578,0.394,48.7,36.467,
QCEM,21,QCEM21,98.84,2.499,5.827,3.073,2.7,,,,,,2.052,0.682,1.385,5.933,5.933,1.782,1.782,4.235,3.374,1.599,6.172,1.777,0.126,0.457,35.5,23.123,
QCEM,22,QCEM22,101.986,2.44,5.351,2.809,2.671,,11.577,11.001,0.758,0.586,1.51,0.796,1.335,5.798,6.878,2.07,2.236,5.184,3.934,1.761,5.337,1.431,0.108,0.452,40.2,25.349,
ONMB,01,ONMB01,127.514,2.121,4.126,2.153,1.725,,,,,,,0.391,,4.42,4.42,2.163,2.163,4.152,3.008,1.466,4.699,1.034,0.151,0.393,41,15.379,
ONMB,02,ONMB02,78.391,1.667,4.535,1.784,1.414,,,,,,1.533,0.436,1.218,3.159,4.435,1.561,1.698,3.56,2.61,1.395,4.597,0.78,0.099,0.416,24,9.037,
ONMB,03,ONMB03,126.523,1.868,4.111,2.104,1.669,,12.47,10.062,1.35,0.756,,,,2.978,3.594,1.443,1.605,3.143,2.388,1.379,4.008,0.866,0.116,0.464,26.4,10.805,
ONMB,04,ONMB04,86.235,2.03,4.287,2.116,1.733,,8.568,7.819,0.613,0.453,2.393,0.895,1.451,4.772,4.772,1.736,1.736,4.317,3.337,1.565,5.28,1.508,0.193,0.476,39.1,23.381,
ONMB,05,ONMB05,79.738,2.715,6.558,2.488,1.931,,,,,,1.704,0.439,1.154,4.742,5.655,1.848,1.848,4.695,3.362,1.693,5.119,1.066,0.206,0.443,31.4,21.93,
ONMB,06,ONMB06,109.075,1.844,4.135,2.008,1.684,,,,,,1.771,0.693,1.288,4.637,4.637,1.817,1.817,4.087,2.871,1.513,4.969,1.147,0.122,0.396,16.4,16.938,
ONMB,07,ONMB07,94.673,2.484,4.996,2.251,1.742,,,,,,,,,4.863,5.356,1.465,1.465,3.902,3.088,1.414,5.681,1.098,0.212,0.441,28.5,20.138,
ONMB,08,ONMB08,106.346,1.591,3.881,2.169,1.759,,,,,,1.574,0.494,1.202,4.894,4.894,1.903,1.903,3.628,3.179,1.626,4.868,1.316,0.143,0.466,42.5,14.133,
ONMB,09,ONMB09,101.731,2.167,4.821,2.788,2.069,,,,,,1.488,0.77,1.443,4.396,4.917,1.622,1.622,4.116,2.949,1.502,5.116,1.602,0.47,0.449,28.6,17.971,
ONMB,10,ONMB10,65.454,1.886,4.654,1.647,1.284,,,,,,,,,5.119,5.47,1.631,1.631,4.612,3.25,1.638,5.296,1.419,0.25,0.455,45.2,20.858,
ONMB,11,ONMB11,147.755,1.563,3.647,2.29,1.976,,,,,,,,,4.91,5.409,1.84,1.992,4.032,3.057,1.255,3.969,1.278,0.261,0.397,27.1,23.79,
ONMB,12,ONMB12,83.323,2.07,4.525,1.92,1.488,,,,,,1.888,0.872,0.888,4.159,6.429,1.428,1.428,3.235,2.455,1.225,5.922,1.114,0.204,0.366,25.4,27.604,
ONMB,13,ONMB13,103.945,1.864,4.216,1.979,1.487,,,,,,1.783,0.56,1.083,5.084,5.084,1.586,1.586,3.932,3.02,1.532,5.581,0.977,0.148,0.454,37.2,18.839,
ONMB,14,ONMB14,91.973,2.923,6.127,2.288,2.288,,,,,,,1.099,,7.994,7.994,2.301,2.301,6.51,3.689,1.945,8.031,2.18,0.231,0.663,47.3,24.768,
ONMB,15,ONMB15,118.089,1.997,4.426,2.603,1.795,,,,,,2.219,0.79,1.077,4.444,4.86,1.406,1.59,4.309,3.451,1.554,5.221,1.374,0.204,0.419,19.6,13.763,
ONMB,16,ONMB16,72.816,1.272,4.218,1.714,1.117,,,,,,1.81,0.886,0.994,5.752,6.428,1.484,2.309,4.899,3.765,1.711,5.515,1.068,0.125,0.305,88.4,14.328,
ONMB,17,ONMB17,95.07,1.287,3.482,1.859,1.394,,,,,,,,,4.715,4.715,1.753,1.753,3.284,2.737,1.28,4.241,1.66,0.178,0.373,39.2,26.062,
ONMB,18,ONMB18,92.337,1.643,4.146,2.021,1.579,,,,,,,,,3.748,4.945,1.578,1.578,4.188,3.356,1.411,4.988,1.489,0.218,0.422,49.1,15.003,
ONMB,19,ONMB19,85.601,1.683,6.182,2.058,1.605,,,,,,,,,5.337,5.692,1.561,1.915,4.107,3.51,1.657,5.06,1.663,0.305,0.363,72.3,31.151,
ONMB,20,ONMB20,134.475,1.758,3.897,2.29,1.981,,,,,,,,,4.727,5.072,2.226,2.226,4.376,3.185,1.583,,1.243,0.163,0.401,22.4,19.497,
ONMB,21,ONMB21,92.233,1.475,4.025,1.971,1.544,,,,,,,,,7.013,7.214,1.253,1.785,5.221,3.731,1.658,6.962,1.287,0.261,0.366,71.9,17.191,
ONMB,22,ONMB22,120.636,2.201,4.781,2.394,2.078,,,,,,,,,4.284,5.373,1.345,1.986,4.239,2.906,1.202,5.319,1.355,0.145,0.469,18,13.824,
ONMB,23,ONMB23,81.612,1.774,3.977,2.098,1.736,,,,,,,,,4.181,4.569,1.397,1.397,3.484,2.732,1.131,4.207,1.062,0.193,0.384,25.3,8.203,
ONMB,24,ONMB24,100.439,1.339,3.688,2.848,2.304,,,,,,,,,4.966,5.63,2.557,2.557,4.407,3.383,1.546,5.268,1.184,0.225,0.52,36,17.844,
ONMB,25,ONMB25,90.391,1.796,4.329,2.576,1.952,,,,,,,,,5.394,5.657,1.821,1.821,4.857,3.537,1.492,5.36,1.267,0.132,0.435,43.5,15.58,
ONMB,26,ONMB26,76.178,1.464,4.091,1.717,1.207,,,,,,,,,4.581,5.806,1.674,1.812,4.577,3.388,1.485,5.365,1.114,0.139,0.343,33.8,27.799,
ONMB,27,ONMB27,88.83,1.672,5.659,2.562,1.98,,,,,,,,,4.659,5.137,1.951,1.951,4.101,3.317,1.474,4.527,0.909,0.177,0.461,68.4,27.676,
ONMB,28,ONMB28,103.431,1.167,3.006,1.669,1.282,,,,,,,,,4.252,5.231,1.708,1.708,4.07,2.919,1.312,4.91,1.003,0.206,0.466,44.8,13.766,
ONMB,29,ONMB29,112.103,1.836,4.736,2.199,1.625,,,,,,2.043,0.583,1.067,5.165,5.79,1.504,1.504,4.73,3.583,1.587,5.475,1.639,0.307,0.481,54.9,14.457,
ONMB,30,ONMB30,83.778,1.869,4.032,2.047,1.681,,,,,,1.895,0.467,1.43,4.88,5.487,1.583,1.583,4.157,3.307,1.329,4.926,1.937,0.254,0.588,92.2,21.535,
ONLS,01,ONLS01,103.085,3.206,7.467,3.428,2.836,,,,,,,,,6.048,,2.307,,4.956,4.111,2.149,5.959,1.298,0.158,0.516,29.2,18.472,4.724
ONLS,03,ONLS03,87.963,2.329,5.228,2.265,2.079,,,,,,,,,5.452,,2.206,,4.173,2.936,1.465,5.77,1.416,0.138,0.508,27.8,26.319,7.498
ONLS,06,ONLS06,85.542,2.981,6.718,2.731,2.325,,,,,,,,,4.4,,2.34,,4.755,3.849,2.069,5.243,1.945,0.144,0.335,74.9,26.269,10.034
ONLS,09,ONLS09,95.222,2.91,6.909,3.099,2.544,,,,,,1.949,0.925,,5.644,,2.035,,3.37,2.094,0.836,5.751,1.692,0.182,0.512,16.2,24.62,10.521
ONAB,03,ONAB03,91.559,1.831,5.454,2.257,1.389,,14.925,10.889,1.599,0.818,1.716,0.554,1.001,3.316,,1.449,,3.312,2.642,1.303,3.901,0.795,0.186,0.428,64.8,24.417,6.393
ONAB,16,ONAB16,94.684,1.919,4.942,2.154,1.804,,10.404,8.367,1.378,0.81,,,,6.66,,2.338,,5.54,3.915,1.601,6.849,1.222,0.282,0.36,31.2,19.307,2.794
ONAB,24,ONAB24,125.327,1.823,4.547,2.595,2.236,,,,,,,,,4.743,,2.061,,4.406,3.041,1.441,5.157,1.105,0.162,0.411,21.1,19.938,8.738
ONAB,26,ONAB26,90.567,1.882,4.613,2.474,1.966,,,,,,2.02,0.729,,4.038,,1.909,,3.635,2.725,1.31,4.255,1.296,0.223,0.393,29.5,10.542,5.422
ONNB,03,ONNB03,99.514,2.648,4.925,2.596,2.22,,,,,,,0.651,,5.094,,1.484,,4.228,3.492,1.651,5.164,1.423,0.322,0.609,16.7,17.224,4.488
ONNB,11,ONNB11,103.154,2.132,4.8,2.554,2.123,,,,,,,,,4.916,,2.378,,4.023,3.352,1.75,4.275,1.701,0.218,0.397,0,31.524,15.91
ONNB,12,ONNB12,118.242,1.213,3.965,2.217,1.409,,,,,,,,,3.585,,1.846,,3.867,3.108,1.458,4.304,1.159,0.149,0.442,17.7,13.559,4.667
ONNB,24,ONNB24,107.529,1.105,4.759,2.393,1.551,,,,,,,,,5.699,,2.136,,4.914,3.843,1.789,5.362,1.336,0.143,0.552,77.5,25.182,5.507
QCAA,01,QCAA01,92.42,1.297,4.056,2.056,1.494,,8.745,7.987,1.203,0.608,1.497,0.824,1.474,4.564,5.3,2.202,1.863,3.401,2.897,1.319,4.51,1.429,0.3,0.317,21.2,21.993,
QCAA,02,QCAA02,127.583,1.384,3.2,2.347,1.771,,8.527,7.544,1.393,0.696,1.89,0.769,1.324,5.168,5.806,2.032,2.108,4.254,3.219,1.415,,1.636,0.651,0.545,29.6,10.748,
QCAA,03,QCAA03,101.905,1.71,3.387,2.267,1.853,,10.515,8.727,1.676,1.056,1.831,0.634,1.211,4.85,5.829,1.885,1.946,4.284,2.964,1.572,5.696,1.186,0.244,0.285,27.3,23.098,
QCAA,04,QCAA04,94.675,2.079,4.659,2.168,1.578,,,,,,1.365,0.539,1.017,5.867,6.147,2.273,2.273,4.699,3.221,1.509,5.797,1.034,0.059,0.3,47.5,19.985,
QCAA,05,QCAA05,94.342,1.441,3.51,2.455,1.644,,11.519,10.354,1.678,1.155,2.437,1.076,1.728,5.825,6.588,2.175,2.406,4.001,2.891,1.194,5.606,1.308,0.341,0.378,22.4,15.743,
QCRA,09,QCRA09,67.166,1.055,3.189,1.375,1.087,,,,,,,,,3.846,3.982,1.702,1.893,3.073,2.009,0.741,4.817,0.743,0.09,0.335,25.8,15.717,
QCRA,15,QCRA15,100.529,1.968,4.22,3.045,2.216,,11.408,8.621,1.425,0.98,,,,6.301,6.354,2.023,1.654,4.822,3.735,1.573,5.953,1.623,0.184,0.54,108.3,26.115,
QCRA,22,QCRA22,121.459,1.207,3.552,2.01,1.549,,,,,,,,,5.885,5.629,1.998,2.38,4.897,3.504,1.49,5.622,1.332,0.199,0.306,16.5,22.135,
QCRA,23,QCRA23,116.717,1.643,3.769,2.038,1.56,,,,,,2.064,0.495,1.609,6.666,6.396,2.376,2.521,4.952,3.443,1.547,5.838,1.311,0.522,0.357,25.1,19.826,
QCCW,01,QCCW01,70.69,1.96,4.361,2.025,1.669,,,,,,2.096,0.752,1.248,4.875,,1.991,,4.382,3.177,1.621,5.485,1.226,0.118,0.381,47.9,21.715,
QCCW,02,QCCW02,105.779,2.172,3.957,2.275,1.796,,,,,,1.71,0.619,1.403,5.347,,2.028,,4.179,2.857,1.511,5.529,1.427,0.232,0.342,36.8,21.558,
QCCW,03,QCCW03,101.186,1.602,3.797,2.414,1.84,,,,,,,,,5.35,,2.537,,4.406,3.309,1.707,4.812,1.147,0.192,0.289,12.4,25.73,
QCCW,04,QCCW04,79.727,2.318,5.504,2.948,2.489,,9.987,9.147,1.481,0.705,1.561,0.636,1.514,4.574,,2.614,,4.35,3.416,1.736,4.776,1.655,0.199,0.497,4.2,37.273,
QCCW,05,QCCW05,94.374,1.842,4.32,2.372,1.859,,,,,,,0.844,,4.645,,2.233,,3.977,3.307,1.6,4.394,0.933,0.23,0.457,19.4,22.893,
QCEW,01,QCEW01,110.394,2.197,5.416,3.274,2.54,,,,,,,,,5.053,,2.061,,4.985,3.53,1.857,5.404,1.175,0.328,0.4,49.6,23.314,
QCEW,02,QCEW02,121.129,2.247,5.119,2.57,1.873,,,,,,,,,5.792,,2.014,,4.66,3.048,1.609,5.503,1.538,0.21,0.382,58.3,18.45,
QCEW,03,QCEW03,65.829,1.293,4.861,2.107,1.83,,,,,,,,,5.729,,2.055,,4.268,3.078,1.378,6.008,1.768,0.447,0.376,32.8,19.447,
QCEW,04,QCEW04,61.778,1.65,5.484,2.784,2.248,,,,,,,0.711,,5.67,,2.324,,4.134,3.094,1.487,6.131,1.462,0.257,0.379,,32.118,
QCEW,05,QCEW05,128.165,1.411,4.132,2.88,2.554,,,,,,,0.786,1.589,5.321,,2.317,,3.445,2.426,1.011,5.044,0.996,0.405,0.404,64.4,24.19,
QCWJ,01,QCWJ01,81.984,0.679,3.189,2.03,1.438,,,,,,1.325,0.615,1.435,5.5,,2.212,,4.812,3.346,1.71,5.957,1.192,0.161,0.33,27.3,30.685,
QCWJ,02,QCWJ02,76.657,1.079,4.084,2.066,1.744,,,,,,,,,4.871,,1.666,,4.009,3.059,1.428,5.147,1.28,0.329,0.319,26.8,14.54,
QCWJ,03,QCWJ03,59.41,1.058,4.495,2.253,1.638,,11.781,9.072,1.731,0.948,,,,4.459,,1.82,,4.033,3.168,1.505,4.944,1.181,0.139,0.481,76.5,19.115,
QCWJ,04,QCWJ04,81.808,1.571,4.806,2.299,1.86,,,,,,,,,4.6,,1.826,,4.233,2.774,1.215,4.837,1.157,0.456,0.367,21.6,23.785,
QCWJ,05,QCWJ05,74.938,1.007,4.137,2.061,1.443,,,,,,,,,5.844,,2.413,,4.777,3.237,1.576,6.906,1.371,0.168,0.375,24.4,24.795,
QC300,01,QC30001,72.434,1.897,3.515,1.994,1.769,,,,,,1.822,0.643,1.245,6.435,,2.048,,4.297,3.07,1.266,5.942,1.301,0.376,0.272,51.1,26.067,
QC300,02,QC30002,61.066,1.447,3.771,1.937,1.316,,,,,,,,,4.331,,1.892,,3.071,2.091,1.042,4.725,0.828,0.356,0.323,55.7,24.216,
QC300,03,QC30003,106.696,1.478,3.193,1.836,1.527,,,,,,,,,4.316,,2.21,,3.662,2.6,1.347,5.159,1.067,0.38,0.325,29.4,17.12,
QC300,04,QC30004,91.288,0.761,3.181,1.911,1.519,,,,,,,0.483,0.98,4.333,,1.593,,2.965,1.85,0.907,3.616,,,0.258,34,13.847,
QC300,05,QC30005,111.833,1.527,4.738,2.886,2.338,,,,,,2.614,0.93,1.256,5.682,,1.597,,4.741,3.192,1.499,5.867,1.376,0.208,0.409,72,31.094,
ONDL,03,ONDL03,95.417,2.748,6.292,3.053,2.631,,,,,,1.761,0.746,1.309,6.361,,2.488,,5.116,3.611,1.729,5.68,1.064,0.231,0.498,89.9,25.435,
ONDL,20,ONDL20,96.242,3.576,6.459,2.714,2.284,,,,,,1.743,0.563,1.134,6.497,,3.083,,5.513,4.04,1.893,6.975,1.237,0.238,0.558,81.2,31.611,
ONDL,22,ONDL22,104.308,1.698,6.182,2.885,2.465,,,,,,1.889,0.719,,4.832,,1.993,,3.968,3.372,1.7,4.833,1.779,0.302,0.519,93.1,46.933,
ONDL,25,ONDL25,82.013,2.673,5.876,2.258,2.017,,,,,,,,,4.067,,1.851,,4.31,3.014,1.358,5.546,1.233,0.195,0.462,39,19.262,
QCBB,03,QCBB03,87.714,2.249,5.965,2.186,1.761,,,,,,,,,4.513,,1.513,,3.803,2.85,1.513,4.84,1.2,0.239,0.444,35.3,14.116,
QCBB,08,QCBB08,84.794,3.065,6.313,2.798,2.316,,,,,,,,,7.724,,2.056,,5.665,4.329,1.961,7.988,1.522,0.207,0.552,45.6,22.359,
QCBB,20,QCBB20,128.958,1.604,5.104,2.958,2.548,,,,,,2.017,0.66,1.293,5.637,,1.665,,4.667,3.72,1.755,5.779,1.589,0.142,0.334,42.9,21.203,
QCBB,23,QCBB23,94.629,2.213,6.396,3.059,2.615,,,,,,,,,5.318,,1.235,,3.993,3.191,1.489,2.783,1.585,0.294,0.528,61,18.731,
ONSB,07,ONSB07,89.356,3.029,5.823,3.095,2.73,,,,,,1.823,0.717,,5.287,,2.13,,4.799,3.444,1.727,6.196,2.099,0.2,0.725,11.7,24.766,
ONSB,12,ONSB12,79.649,2.078,5.918,2.097,2.058,,,,,,,,,5.521,,2.279,,4.754,3.914,1.923,5.964,1.669,0.189,0.5,40.8,20.066,
ONSB,23,ONSB23,95.216,2.353,5.611,2.931,2.447,,,,,,1.989,0.836,,6.983,,1.676,,5.421,3.981,1.988,7.003,1.738,0.296,0.497,0,32.456,
ONSB,28,ONSB28,87.22,3.745,6.357,2.392,2.175,,,,,,1.909,0.547,1.254,6.613,,2.264,,4.863,3.391,1.765,6.667,1.421,0.207,0.438,43.8,24.377,
