Location,Sample,id,"leaf_apex_angle","dist_to_widest_leaf","leaf_l","leaf_w","w_non_revoluted_leaf","dist_from_widest_fruit","fruit_l","fruit_w","seed_l","seed_w","sepal_l","sepal_tip_l","sepal_w","old_petal_l","petal_l","old_petal_w","petal_w","stamen_l","anther_l_tubules","anther_l_no_tubules","style_l","bract_l","bract_w","stem_d","shoot_l","pedicel_l","dist_to_lower_bract"
QCVD,06,QCVD06,123.092,0.779,3.992,2.616,2.059,,12.767,10.826,2.212,1.107,,,,4.904,,1.775,,4.893,3.055,1.391,5.572,1.247,0.157,0.418,45.1,17.166,6.779
QCVD,07,QCVD07,105.147,1.723,6.386,3.55,3.261,,,,,,2.045,0.555,1.489,5.931,,2.1,,4.222,2.745,1.371,5.974,1.034,0.136,0.549,101,28.431,10.025
QCVD,08,QCVD08,85.881,3.475,5.478,2.929,2.521,,14.745,11.655,1.87,1.318,1.767,0.698,1.526,6.564,,2.147,,5.171,3.642,2.103,5.342,1.365,0.195,0.604,38.4,28.168,8.679
QCVD,09,QCVD09,88.904,4.691,7.403,3.218,2.94,,12.756,11.833,2.029,1.138,2.095,0.777,1.477,5.957,,1.185,,4.868,3.136,1.561,5.613,1.578,0.171,0.603,52.7,26.316,7.144
QCVD,10,QCVD10,86.222,1.348,4.07,2.004,1.419,,,,,,2.23,0.941,1.287,6.252,,2.303,,4.105,2.86,1.17,5.932,1.504,0.15,0.263,0,26.294,6.323
QCVD,11,QCVD11,118.92,1.997,5.28,3.086,2.8,,11.524,9.859,2.068,0.912,2.591,0.783,1.35,5.524,,1.938,,4.158,3.324,1.638,5.698,1.95,0.285,0.433,43.5,26.64,18.275
QCVD,12,QCVD12,94.019,2.16,5.982,2.627,2.295,,9.483,8.04,1.993,1.077,1.992,0.561,1.284,4.63,,2.205,,4.631,3.013,1.241,6.85,1.487,0.254,0.465,45.4,16.197,4.482
QCVD,13,QCVD13,114.582,1.247,4.243,2.22,1.879,,,,,,1.403,0.556,1.499,6.488,,1.654,,5.055,3.656,1.687,6.063,1.386,0.416,0.51,49.9,22.842,11.875
QCVD,14,QCVD14,121.464,1.534,4.152,2.931,2.537,,,,,,,,,4.676,,1.717,,4.425,3.305,1.451,5.154,1.466,0.225,0.457,72.9,19.726,11.017
QCVD,15,QCVD15,97.027,1.811,5.484,2.405,1.688,,8.402,7.418,,,,0.757,1.243,4.813,,1.536,,3.961,3.051,1.551,5.093,1.001,0.104,0.448,36.3,25.304,5.665
QCVD,16,QCVD16,98.735,1.881,4.995,2.762,2.229,,11.835,9.166,1.623,0.929,2.232,0.801,1.608,5.807,,2.484,,5.264,3.755,1.672,7.16,1.672,0.181,0.244,50.3,30.555,9.868
QCVD,17,QCVD17,85.039,1.657,5.048,2.271,1.652,,,,,,2.091,0.649,1.407,6.254,,2.246,,4.618,3.529,1.54,7.105,1.682,0.257,0.56,55.4,21.627,5.482
QCVD,18,QCVD18,75.47,1.453,4.609,2.575,1.826,,10.265,8.668,1.714,0.943,2.802,0.63,1.275,4.975,,1.669,,3.955,3.385,1.778,5.631,1.768,0.16,0.375,41.7,25.986,6.741
QCVD,19,QCVD19,97.174,1.909,5.519,2.492,2.196,,9.289,8.444,1.272,0.497,,,,5.139,,2.156,,4.384,2.791,1.406,6.115,1.097,0.134,0.434,53.7,14.426,4.831
QCVD,20,QCVD20,88.372,1.523,4.617,2.197,1.93,,11.444,9.672,1.523,0.79,,,,5.644,,2.338,,4.389,3.7,1.913,6.538,1.736,0.655,0.517,32.4,26.722,12.082
QCVD,21,QCVD21,92.291,1.998,5.986,2.969,2.321,,10.54,9.381,1.918,1.317,,,,6.028,,2.255,,4.648,3.542,1.687,5.847,1.728,0.133,0.432,55.7,19.115,9.547
QCVD,22,QCVD22,77.243,2.291,6.323,2.258,1.884,,,,,,,,,4.35,,1.451,,4.077,3.364,1.694,4.411,1.175,0.207,0.405,55.4,19.246,5.489
QCVD,23,QCVD23,93.611,2.003,4.935,1.645,1.34,,,,,,0.831,0.398,,5.494,,1.64,,5.102,3.352,1.436,6.571,1.498,0.303,0.42,54.7,24.629,7.827
QCVD,24,QCVD24,93.844,1.324,4.631,2.679,2.166,,9.768,9.437,1.669,0.931,,,,5.38,,1.682,,4.349,3.619,1.984,4.828,1.299,0.226,0.508,51.2,26.209,7.21
QCVD,25,QCVD25,97.486,1.743,5.6,2.335,2.081,,11.4,10.503,,,1.2,0.511,1.179,3.666,,1.507,,2.875,2.297,1.158,4.162,1.392,0.388,0.513,34.3,12.109,7.944
QCWL,01,QCWL01,104.225,2.191,4.791,2.664,2.255,,,,,,2.091,0.89,1.359,4.833,5.627,1.913,2.087,4.063,2.426,1.112,4.977,1.581,0.202,0.373,35.1,31.256,14.49
QCWL,02,QCWL02,103.263,2.475,5.174,2.373,2.081,,,,,,1.466,0.674,1.12,5.09,5.098,1.636,1.845,3.752,2.664,1.466,3.671,1.102,0.221,0.365,43.2,9.712,3.997
QCWL,03,QCWL03,96.115,3.005,6.76,3.323,3.136,,,,,,2.076,0.789,1.351,6.625,6.422,2.071,2.174,4.56,3.451,1.72,5.885,1.087,0.104,0.512,40.7,24.389,4.389
QCWL,04,QCWL04,67.4,2.296,5.79,2.325,1.98,,,,,,1.735,0.494,1.688,5.603,5.603,1.802,1.802,4.574,3.18,1.379,5.811,1.564,0.151,0.463,63.7,24.173,8.936
QCWL,05,QCWL05,97.217,2.937,6.538,3.194,2.983,,,,,,1.65,0.514,1.264,5.669,5.371,1.845,2.14,4.261,2.711,1.255,6.246,1.075,0.258,0.562,98.6,24.214,6.073
QCWL,06,QCWL06,79.695,2.487,6.974,3.197,3.104,,,,,,1.667,1.21,0.804,4.451,4.451,1.785,1.785,5.053,3.572,1.677,6.23,1.461,0.31,0.669,80.5,14.496,3.202
QCWL,07,QCWL07,86.661,2.708,6.282,2.824,2.538,,,,,,1.27,0.626,1.211,5.289,6.174,2.184,2.596,3.999,2.763,1.385,5.329,1.524,0.323,0.489,62.9,17.519,7.254
QCWL,08,QCWL08,107.151,2.09,6.974,3.626,3.09,,,,,,1.547,0.649,0.932,4.387,5.531,1.917,2.488,4.991,3.647,1.683,6.194,1.662,0.283,0.473,40.5,20.161,10.625
QCWL,09,QCWL09,76.659,1.604,5.636,2.596,2.378,,,,,,1.447,0.52,1.284,5.405,5.63,2.497,2.637,4.666,3.384,1.801,5.643,1.56,0.374,0.551,68.6,30.744,15.843
QCWL,10,QCWL10,49.411,2.545,6.169,2.775,2.311,,,,,,2.487,1.017,2.01,5.429,6.373,2.509,2.712,5.029,3.461,1.625,6.035,1.537,0.217,0.3,45.3,25.586,11.921
QCWL,11,QCWL11,106.381,2.434,5.128,2.266,1.958,,,,,,1.56,0.627,1.063,5.793,5.889,2.362,2.42,4.09,2.881,1.638,,1.34,0.187,0.44,54.5,33.703,10.462
QCWL,12,QCWL12,127.458,2.393,5.253,3.395,3.046,,,,,,1.928,0.955,1.406,5.496,5.842,2.06,2.125,4.602,3.579,1.579,5.582,1.451,0.366,0.601,35.6,18.402,5.645
QCWL,13,QCWL13,87.138,2.207,5.397,2.975,2.678,,,,,,1.932,0.736,1.585,5.709,7.049,2.236,2.385,4.761,3.926,1.732,5.816,1.789,0.368,0.553,84.6,16.521,3.647
QCWL,14,QCWL14,123.186,2.163,4.484,2.767,2.506,,,,,,1.879,0.767,1.585,6.331,6.41,2.131,2.507,3.893,2.809,1.315,6.317,1.678,0.209,0.367,45.3,24.005,6.414
QCWL,15,QCWL15,77.58,3.224,7.512,3.678,3.485,,,,,,2.028,0.854,1.309,4.441,6.105,1.654,1.86,5.37,4.23,1.659,5.21,1.694,0.407,0.462,101.4,37.9,5.869
QCWL,16,QCWL16,84.185,1.658,4.341,2.457,1.95,,,,,,2.141,0.785,1.391,4.448,5.19,2.034,2.387,4.286,3.08,1.436,5.406,1.549,0.262,0.373,31.5,15.906,6.73
